ticker,name,isin,cnpj,segment,type,price,nav,dy,dy_months,dy_avg_month_6m,pvp,liquidity,pl,vacancy,properties,shareholders,shares,admin_fee,growth_12m,growth_pl_12m,growth_shareholders_12m,change_30d,high_252d,low_252d,report_date,price_date,price_stale_days,dividend_source,score,classification,flags,score_valuation,score_income,score_liquidity,score_size,score_operational,score_growth
MFII11,MÉRITO DESENVOLVIMENTO IMOBILIÁRIO FII,BRMFIICTF008,16915968000188,Multicategoria,Híbrido,40.61,97.1134087588235,10.8842,12,0.7618166666666667,0.4181708841139846,900647.6296666667,660371179.56,,,31165.0,6800000.0,0.000538,1.0072520492053205,6.740742978298142,-4.726238879887501,34.827357237715795,81.25,27.4,2026-08-01,2026-09-17,0,CVM Informe Mensal — Percentual_Dividend_Yield_Mes,44.4,Risco,,34.3,65.4,38.5,30.5,55.0,36.7
AVUR11,ARCH VANGUARDA UNIDADES RESIDENCIAIS FII,BRAVURCTF006,57109239000111,Multicategoria,Híbrido,91.3,92.97900851,5.660678,6,0.9434463333333333,0.9819420691088632,4241093.78,23384220.64,,,23.0,251500.0,0.002042,,,,-5.349367613518552,100.55,91.3,2026-07-01,2026-08-17,31,CVM Informe Mensal — Percentual_Dividend_Yield_Mes,44.1,Oportunidade,"preco_defasado,dy_parcial_6_meses",80.2,7.3,78.1,0.0,55.0,50.0
ITIT11,INTER TEVA ÍNDICE DE TIJOLO FII,BRITITCTF004,36293425000183,Outros,Outros,62.59,75.69107519,9.479807000000001,12,0.7830678333333334,0.8269138711913705,89899.33966666668,68159359.06,,,8717.0,900494.0,0.000275,-6.6763363069567365,1.8268544854345814,-15.179527099348055,4.7005687520909945,82.3,55.0,2026-07-01,2026-09-17,0,CVM Informe Mensal — Percentual_Dividend_Yield_Mes,44.1,Oportunidade,,100.0,49.8,0.0,0.0,55.0,11.1
INLG11,INTER LOGÍSTICO FII,BRINLGCTF008,34598181000111,Logística,Tijolo,62.0,106.49469187,7.643823,12,0.5636335,0.5821886416243593,165323.33733333333,480515018.66,,,14438.0,4512103.0,0.000419,-5.237732288858449,6.308397093752838,-16.783861671469737,-1.4465108885709732,83.5,59.51,2026-07-01,2026-09-17,0,CVM Informe Mensal — Percentual_Dividend_Yield_Mes,44.1,Oportunidade,,100.0,29.4,0.0,22.4,55.0,15.9
CRFF11,CX RIO BRAVO FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIÁRIO II,BRCRFFCTF006,31887401000139,Multicategoria,Híbrido,65.65,82.0378782679265,9.0085,12,0.7594833333333333,0.8002401011103002,15268.48566666667,56609417.52,,,1153.0,690040.0,0.001054,-3.1271550336747165,1.5056899326505668,-7.76,0.9534061202522093,81.6,61.55,2026-07-01,2026-09-17,0,CVM Informe Mensal — Percentual_Dividend_Yield_Mes,43.9,Oportunidade,,100.0,44.5,0.0,0.0,55.0,22.9
ERPA11,EUROPA 105 FII,BRERPACTF002,31469385000164,Multicategoria,Híbrido,124.96,165.584958696164,6.2774,12,0.5627666666666666,0.7546579169022969,80251.48233333336,82945148.68,,,841.0,500922.0,9e-05,19.623576370969275,3.8204216630335575,35.42673107890499,-1.5752993068683052,134.0,100.0,2026-07-01,2026-09-17,0,CVM Informe Mensal — Percentual_Dividend_Yield_Mes,43.9,Oportunidade,,100.0,14.2,0.0,0.0,55.0,98.7
RELG11,FUNDO DE INVESTIMENTO IMOBILIÁRIO REC LOGÍSTICA,BRRELGCTF008,37112770000136,Multicategoria,Híbrido,69.95,80.0203123508911,10.1188,12,0.7505166666666666,0.8741530487067768,69264.29966666667,28677599.52,,4.0,3519.0,358379.0,0.0016477983091661,-45.24625209289759,-74.43811487281809,-16.0543893129771,2.012541927956857,83.74,57.0,2026-07-01,2026-08-12,36,CVM Informe Mensal — Percentual_Dividend_Yield_Mes,43.8,Oportunidade,preco_defasado,96.4,56.9,0.0,0.0,55.0,0.0
BTHI11,BTG HOTEIS FII,BRBTHICTF004,18308516000163,Hotel,Tijolo,43.99,64.593038,2.7205000000000004,12,0.0,0.6810331478757818,27807.559999999998,595451696.88,,3.0,1767.0,9218512.0,0.000556,9.205931614048824,-6.024756490212213,24.43661971830986,4.365361803084222,49.99,40.55,2026-07-01,2026-09-17,0,CVM Informe Mensal — Percentual_Dividend_Yield_Mes,43.8,Oportunidade,,100.0,0.0,0.0,27.9,55.0,64.0
CXRI11,CAIXA RIO BRAVO FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO,BRCXRICTF003,17098794000170,Multicategoria,Híbrido,68.05,81.9743879651724,8.737,12,0.7360666666666668,0.8301373354432569,47801.76199999999,129171961.58,,,1718.0,1575760.0,0.001103,-1.1424167621844563,2.3766537120350817,-4.661487236403994,8.67135100606835,76.49,61.02,2026-07-01,2026-09-17,0,CVM Informe Mensal — Percentual_Dividend_Yield_Mes,43.8,Oportunidade,,100.0,41.5,0.0,0.0,55.0,29.5
BLMG11,BLUEMACAW LOGÍSTICA FUNDO INVESTIMENTO,BRBLMGCTF005,34081637000171,Multicategoria,Híbrido,30.42,45.68567882,8.976173,12,0.8430261666666666,0.665854175437641,321837.4996666666,213489177.11,,,12455.0,4645000.0,0.000595,-19.214026555747353,-35.45983871448629,-2.9682143970084174,-2.780441035474579,35.0,29.99,2026-07-01,2026-09-17,0,CVM Informe Mensal — Percentual_Dividend_Yield_Mes,43.6,Oportunidade,,100.0,44.2,12.2,1.7,55.0,0.0
